,ts,device_id,type,subtype,to_ds,from_ds,flags,duration_id,sequence_ctrl,addr1,addr2,addr3,addr4,rssi,channel,payload_size,payload
770,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,50864,"""FF:FF:FF:FF:FF:FF""","""8889d7f9ac69809dc3df4231d252b9ffb5635579b72a3cf5b1974c672118b544""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-86,6,120,
771,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,22208,"""FF:FF:FF:FF:FF:FF""","""1ffe66b24be177dec544426dbf4d0a05f59f38905910f5f1ba447e5befe3097b""","""FF:FF:FF:FF:FF:FF""","""8e47ca731303a0f7cc36587209d743b0fb4533ffd3ed440991e01ab815051bb1""",-77,6,117,
772,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,22224,"""FF:FF:FF:FF:FF:FF""","""1ffe66b24be177dec544426dbf4d0a05f59f38905910f5f1ba447e5befe3097b""","""FF:FF:FF:FF:FF:FF""","""8e47ca731303a0f7cc36587209d743b0fb4533ffd3ed440991e01ab815051bb1""",-77,6,117,
773,1654884680,dev-6sdvl6005smx,0,5,0,0,0,314,2592,"""1ffe66b24be177dec544426dbf4d0a05f59f38905910f5f1ba447e5befe3097b""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""b8ff9416b8694fc21de4e7bab307119704dd71cb69631fbe6542b4fdfebdc1b9""",-38,6,233,
774,1654884680,dev-6sdvl6005smx,0,5,0,0,2,314,2592,"""1ffe66b24be177dec544426dbf4d0a05f59f38905910f5f1ba447e5befe3097b""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""315e5ec11f112c6586b88a6d7092eadd7671863f0bb96a2474e60739df82d731""",-37,6,233,
775,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,14224,"""FF:FF:FF:FF:FF:FF""","""ec3cf656934bde67db0a4bdc6e763bfdbda3e7d003eed713024ba73cf485db5c""","""FF:FF:FF:FF:FF:FF""","""86c3282d4fe282d0c393242eb204808b2a1698d35181302265f089907819c181""",-77,6,158,
776,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,14240,"""FF:FF:FF:FF:FF:FF""","""ec3cf656934bde67db0a4bdc6e763bfdbda3e7d003eed713024ba73cf485db5c""","""FF:FF:FF:FF:FF:FF""","""86c3282d4fe282d0c393242eb204808b2a1698d35181302265f089907819c181""",-77,6,158,
777,1654884695,dev-6sdvl6005smx,0,5,0,0,2,48,24400,"""4ce77353c1632abe03041520699217d48dd841f8b1e3bd7b52480f6cadffd667""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""b98c610f07fae80f1a2604ced1b6b0f38050a1df47f5c3e0b58f071d5b3be09a""",-89,6,204,
778,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,14000,"""FF:FF:FF:FF:FF:FF""","""4ce77353c1632abe03041520699217d48dd841f8b1e3bd7b52480f6cadffd667""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-83,6,120,
779,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,14016,"""FF:FF:FF:FF:FF:FF""","""4ce77353c1632abe03041520699217d48dd841f8b1e3bd7b52480f6cadffd667""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-84,6,120,
780,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,10480,"""FF:FF:FF:FF:FF:FF""","""885fcf9242152cbe20dae06553544f94c10534fe3fe138a208ddebd32c51168f""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-93,6,129,
781,1654884695,dev-6sdvl6005smx,0,5,0,0,0,314,2640,"""885fcf9242152cbe20dae06553544f94c10534fe3fe138a208ddebd32c51168f""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""39c608bc93944df2418b186ad4833d36cbc0fa9194a5d01df087ad8ad0579a52""",-38,6,233,
782,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,15328,"""FF:FF:FF:FF:FF:FF""","""ec3cf656934bde67db0a4bdc6e763bfdbda3e7d003eed713024ba73cf485db5c""","""FF:FF:FF:FF:FF:FF""","""86c3282d4fe282d0c393242eb204808b2a1698d35181302265f089907819c181""",-80,6,158,
783,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,15344,"""FF:FF:FF:FF:FF:FF""","""ec3cf656934bde67db0a4bdc6e763bfdbda3e7d003eed713024ba73cf485db5c""","""FF:FF:FF:FF:FF:FF""","""86c3282d4fe282d0c393242eb204808b2a1698d35181302265f089907819c181""",-78,6,158,
784,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,18000,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""1153ecbe908e4c2a6050e02354c674f56c052f364664704beff13299c6385d35""",-92,6,294,
785,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,18016,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-91,6,283,
786,1654884695,dev-6sdvl6005smx,0,5,0,0,0,60,34384,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""133d55c265e03be90302cd68de5bc3d3675083165df711115d500775c736404e""",-88,6,538,
787,1654884695,dev-6sdvl6005smx,0,4,0,0,0,0,18048,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-84,6,283,
788,1654884695,dev-6sdvl6005smx,0,5,0,0,2,48,24432,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""598dfbe8906499ed5f21dd5b9a84707d36417009fdddaa73eb079924355da710""",-88,6,204,
789,1654884695,dev-6sdvl6005smx,0,5,0,0,0,314,50048,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""bde4e941ac6feb186e7eeee7e8293bc0d0941a57b5aa4a16ab379ee5a967ba97""",-38,6,227,
790,1654884695,dev-6sdvl6005smx,0,5,0,0,2,314,50048,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""d74eaf8d2ee2520775d201455a6949cf23b39a24c9e31d2ac70b52e899dfb767""",-39,6,227,
791,1654884705,dev-6sdvl6005smx,0,5,0,0,2,48,24576,"""720005063baf9af05060bc0efd25f7b3d50a0fda0420b4193e719df87346cd03""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""89aecd411674ab1dfd7b884c61ff1c39fc158d9da172981d9f0a9e8d2657725f""",-90,6,253,
792,1654884705,dev-6sdvl6005smx,0,5,0,0,2,48,24592,"""720005063baf9af05060bc0efd25f7b3d50a0fda0420b4193e719df87346cd03""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""aa58e64d55f654f5ac8b27cc82259591314081eab02c1d434d6a37761834e21b""",-89,6,204,
793,1654884705,dev-6sdvl6005smx,0,5,0,0,2,48,24592,"""720005063baf9af05060bc0efd25f7b3d50a0fda0420b4193e719df87346cd03""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""3afdcf93d21960da1208097b5d7d2d90d680312f750e0b02a784c5f43eb135b5""",-91,6,204,
794,1654884705,dev-6sdvl6005smx,0,5,0,0,2,48,24592,"""720005063baf9af05060bc0efd25f7b3d50a0fda0420b4193e719df87346cd03""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""9fa21f058a085b49b60ba54d7139bce5ada9ab564d818060954b7b6d5438f7be""",-88,6,204,
795,1654884705,dev-6sdvl6005smx,0,5,0,0,2,48,24640,"""720005063baf9af05060bc0efd25f7b3d50a0fda0420b4193e719df87346cd03""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""c67803f239619fb0ef5ff210b50777daa8fd2244c6e1e268c05b31d90ada4269""",-92,6,204,
796,1654884705,dev-6sdvl6005smx,0,5,0,0,2,48,24640,"""720005063baf9af05060bc0efd25f7b3d50a0fda0420b4193e719df87346cd03""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""765b2fdfff8dda14444e54497d645c175af2f1a96e1142461d3f597a6a51e11a""",-89,6,204,
797,1654884705,dev-6sdvl6005smx,0,4,0,0,0,0,16240,"""FF:FF:FF:FF:FF:FF""","""ec3cf656934bde67db0a4bdc6e763bfdbda3e7d003eed713024ba73cf485db5c""","""FF:FF:FF:FF:FF:FF""","""86c3282d4fe282d0c393242eb204808b2a1698d35181302265f089907819c181""",-84,6,158,
798,1654884705,dev-6sdvl6005smx,0,4,0,0,0,0,16256,"""FF:FF:FF:FF:FF:FF""","""ec3cf656934bde67db0a4bdc6e763bfdbda3e7d003eed713024ba73cf485db5c""","""FF:FF:FF:FF:FF:FF""","""86c3282d4fe282d0c393242eb204808b2a1698d35181302265f089907819c181""",-85,6,158,
799,1654884715,dev-6sdvl6005smx,0,4,0,0,0,0,29488,"""FF:FF:FF:FF:FF:FF""","""3f248345a7457f75c21d0d0ceae3164f4df7ded7457722aa509b4d83d99f49f9""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-67,6,130,
